MSFT,FB,T,INTC,TSM,ORCL,CHL,VZ,CSCO,IBM,SAP,NVDA,AVGO,VOD.L,MEL.L,MCRO.L,SGE.L,KNM.L,RSW.L,SXS.L,ISAT.L,MONY.L,AVV.L,TALK.L,CCC.L,SYNC.L,IQE.L,HSBA.L,BNC.L,PRU.L,LLOY.L,RBS.L,BARC.L,STAN.L,AV.L,LGEN.L,LSE.L,SDRC.L,III.L,OML.L,HL.L,LAND.L,SMT.L,BLND.L,RSA.L,STJ.L,SGRO.L,ADM.L,DLG.L,INVR.L,CMC.DE,BAC,SHB.L,HICL.L,ICP.L,JLT.L,WFC,BEZ.L,JUP.L,ATST.L,V,IGG.L,ASHM.L,PG,BUD,KO,TM,UN,PEP,PM,BTI,MO,DGE.L,RB.L,CCL.L,ABF.L,MNDI.L,RICO.L,SMDS.L,SKG.L,GKN.L,RPC.L,BC94.L,BD15.L,BOO.L,NESM.DE,FEVR.L,BVIC.L,CINE.L,TCG.L
,182.779999,34.810001,44.75,42.990002,49.009998,51.310001,47.009998,36.490002,151.839996,116.410004,216.960007,282.380005,225.399994,188680,2686,806,592322,,,482.200012,337.799988,,152.800003,1115,1.56606,173.25,731.799988,495,1882.5,65.720001,269.600006,188.75,736.099976,496,265.899994,3785,2503,,194.300003,1605,921,,618,605.5,1179,,1882,356.399994,541.23291,83.279999,26.477173,1004,1.50127,1045,1302,54.09,503.5,582,7.832,111.970001,666,365.100006,,117.559998,,,57.860001,,103.18,66.779999,,2615,6420,4962,3073,1759,98187.5,541,2350,306.799988,921.5,,116,,,1985,763.5,652,111.400002
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83.110001,,34.869999,44.650002,42.41,48.580002,,,36.450001,151.770004,113.849998,214.929993,275.369995,223.910004,188680,2708,782,592322,,2592,,335.5,2637,154.300003,1125,,175.5,738.799988,487.5,1877,65.900002,,189.199997,744.099976,498.399994,265.399994,3803,2510,,195.600006,1594,923.5,,617.5,606.5,1170,558.5,1884,356,541.23291,,26.546875,,1.49292,1051,1304,54.060001,506,586.5,7.83524,110.82,665,,,115.75,45.467236,126.080002,56.93,114.287125,,66.800003,65.489998,2581.5,6492,4955,3067,1746,98187.5,536,2322,,921,,116,183.5,72.809998,1985,761.5,,111.5
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,181.860001,34.330002,44.939999,42.580002,,50.369999,46.18,36.650002,151.949997,115.290001,215.900009,276.589996,224.88884,188680,2739,775,,5545,2543,473.399994,338.399994,,,1108,1.56723,176.75,729.599976,486.25,1915,65.720001,273.200012,,723,504.5,267,3810,2521,,191,1612,925,,615.5,612,1150,557.5,1879,356.700012,538.761536,84.379997,26.616577,993,1.49347,1045,1308,54.52,510,592.5,,111.449997,,367.700012,,115.620003,45.407722,125.779999,57.16,115.25045,103.360001,67.410004,,2601,6401,4964.910156,,1741,,533.5,,303,,,116,,73.120003,1983,761.5,670.5,121.699997
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82.529999,178.740005,,44.619999,42.209999,49.02,50.23,,36.5,150.509995,114.029999,213.931366,274.880005,224.644135,188680,,768,592322,5530,2541,,333.299988,2615,159.220276,1096,,,729.5,486,1882,66.120003,273.600006,,724.200012,500.5,267,3804,2500,,190.899994,1596,,,,606,,557.5,1885,,538.761536,83.910004,26.626535,994,1.49208,1011,1291,54.049999,503,581,7.77585,109.949997,669.5,365.399994,88.269997,115.529999,45.090324,124.290001,56.529999,114.118301,102.540001,66.129997,65.830002,2589,6380,,3095,1753,98187.5,534.5,2291,302.200012,,,116,,72.82,1966,755,649.5,117
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82.529999,178.740005,34.639999,44.619999,42.209999,,50.23,46.200001,36.5,,,213.931366,274.880005,224.644135,188680,2704,768,592322,5530,2541,495,333.299988,2615,159.220276,1096,1.56664,175,729.5,486,1882,66.120003,273.600006,188.75,724.200012,500.5,267,3804,2500,,190.899994,1596,,,618.5,606,1158,,1885,355.299988,538.761536,83.910004,26.626535,994,1.49208,,1291,54.049999,503,581,7.77585,109.949997,,365.399994,88.269997,115.529999,45.090324,,56.529999,,102.540001,66.129997,65.830002,2589,6380,4910.404785,3095,1753,,,,302.200012,929.5,,116,190.25,72.82,1966,755,649.5,117
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
